"checkin_id","checkin_length","checkin_time","location","precinct","device","day","month","year","hour","minute","seconds"
"CHECKIN_000002",29,2018-11-06 07:04:09,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,7,4,9
"CHECKIN_000013",68,2018-11-06 07:16:25,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,7,16,25
"CHECKIN_000016",284,2018-11-06 07:19:55,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,7,19,55
"CHECKIN_000030",23,2018-11-06 07:36:44,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,7,36,44
"CHECKIN_000044",23,2018-11-06 07:52:08,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,7,52,8
"CHECKIN_000054",46,2018-11-06 08:03:43,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,8,3,43
"CHECKIN_000059",19,2018-11-06 08:07:12,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,8,7,12
"CHECKIN_000061",270,2018-11-06 08:08:23,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,8,8,23
"CHECKIN_000078",44,2018-11-06 08:24:56,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,8,24,56
"CHECKIN_000080",57,2018-11-06 08:26:30,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,8,26,30
"CHECKIN_000107",62,2018-11-06 08:51:54,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,8,51,54
"CHECKIN_000117",46,2018-11-06 08:56:39,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,8,56,39
"CHECKIN_000129",64,2018-11-06 09:07:33,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,9,7,33
"CHECKIN_000136",34,2018-11-06 09:11:29,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,9,11,29
"CHECKIN_000155",40,2018-11-06 09:24:10,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,9,24,10
"CHECKIN_000159",21,2018-11-06 09:28:50,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,9,28,50
"CHECKIN_000161",56,2018-11-06 09:30:09,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,9,30,9
"CHECKIN_000174",75,2018-11-06 09:37:36,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,9,37,36
"CHECKIN_000178",68,2018-11-06 09:40:20,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,9,40,20
"CHECKIN_000192",54,2018-11-06 09:55:48,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,9,55,48
"CHECKIN_000201",62,2018-11-06 10:01:59,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,10,1,59
"CHECKIN_000205",278,2018-11-06 10:05:12,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,10,5,12
"CHECKIN_000210",63,2018-11-06 10:16:21,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,10,16,21
"CHECKIN_000212",73,2018-11-06 10:17:38,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,10,17,38
"CHECKIN_000238",75,2018-11-06 10:39:22,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,10,39,22
"CHECKIN_000260",217,2018-11-06 10:59:26,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,10,59,26
"CHECKIN_000264",285,2018-11-06 11:01:28,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,11,1,28
"CHECKIN_000267",68,2018-11-06 11:04:34,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,11,4,34
"CHECKIN_000268",27,2018-11-06 11:08:30,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,11,8,30
"CHECKIN_000300",35,2018-11-06 11:36:08,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,11,36,8
"CHECKIN_000315",280,2018-11-06 11:49:55,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,11,49,55
"CHECKIN_000316",49,2018-11-06 11:50:12,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,11,50,12
"CHECKIN_000318",60,2018-11-06 11:51:39,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,11,51,39
"CHECKIN_000330",35,2018-11-06 12:11:30,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,12,11,30
"CHECKIN_000343",42,2018-11-06 12:31:57,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,12,31,57
"CHECKIN_000358",63,2018-11-06 12:46:45,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,12,46,45
"CHECKIN_000364",71,2018-11-06 12:56:20,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,12,56,20
"CHECKIN_000372",74,2018-11-06 13:13:59,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,13,13,59
"CHECKIN_000377",41,2018-11-06 13:25:36,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,13,25,36
"CHECKIN_000387",37,2018-11-06 13:40:39,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,13,40,39
"CHECKIN_000401",55,2018-11-06 13:54:59,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,13,54,59
"CHECKIN_000407",217,2018-11-06 14:00:57,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,14,0,57
"CHECKIN_000421",64,2018-11-06 14:20:27,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,14,20,27
"CHECKIN_000426",71,2018-11-06 14:37:55,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,14,37,55
"CHECKIN_000439",34,2018-11-06 15:05:35,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,15,5,35
"CHECKIN_000441",34,2018-11-06 15:07:54,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,15,7,54
"CHECKIN_000452",56,2018-11-06 15:31:51,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,15,31,51
"CHECKIN_000474",63,2018-11-06 16:17:18,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,16,17,18
"CHECKIN_000488",33,2018-11-06 16:32:22,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,16,32,22
"CHECKIN_000499",58,2018-11-06 16:58:40,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,16,58,40
"CHECKIN_000505",53,2018-11-06 17:03:33,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,17,3,33
"CHECKIN_000514",22,2018-11-06 17:17:27,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,17,17,27
"CHECKIN_000518",64,2018-11-06 17:22:05,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,17,22,5
"CHECKIN_000519",20,2018-11-06 17:22:25,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,17,22,25
"CHECKIN_000521",40,2018-11-06 17:24:48,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,17,24,48
"CHECKIN_000557",39,2018-11-06 17:54:30,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,17,54,30
"CHECKIN_000563",63,2018-11-06 18:03:34,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,18,3,34
"CHECKIN_000580",66,2018-11-06 18:19:56,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,18,19,56
"CHECKIN_000597",60,2018-11-06 18:31:14,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,18,31,14
"CHECKIN_000607",21,2018-11-06 18:39:45,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,18,39,45
"CHECKIN_000613",51,2018-11-06 18:47:22,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,18,47,22
"CHECKIN_000633",16,2018-11-06 19:22:18,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,19,22,18
"CHECKIN_000637",24,2018-11-06 19:29:32,"LOCATION_001","PRECINCT_001","DEVICE_002",6,11,2018,19,29,32
"CHECKIN_000644",58,2018-11-06 19:51:50,"LOCATION_001","PRECINCT_001","DEVICE_001",6,11,2018,19,51,50
"CHECKIN_000653",43,2018-11-06 07:14:47,"LOCATION_002","PRECINCT_002","DEVICE_003",6,11,2018,7,14,47
"CHECKIN_000660",68,2018-11-06 07:56:37,"LOCATION_002","PRECINCT_002","DEVICE_004",6,11,2018,7,56,37
"CHECKIN_000685",36,2018-11-06 08:41:05,"LOCATION_002","PRECINCT_002","DEVICE_003",6,11,2018,8,41,5
